20201016 13:50:29 Home condition : clear transaksi success
20201016 13:50:29 Home condition : clear array success
20201016 13:50:29 Home condition : clear array nasabah success
20201016 13:50:29 Home condition : clear list success
20201016 13:50:29 Home condition : clear transaksi baru success
20201016 13:50:29 Home condition : clear transaksi success
20201016 13:50:29 Home condition : clear array success
20201016 13:50:29 Home condition : clear array nasabah success
20201016 13:50:29 Home condition : clear list success
20201016 13:50:29 Home condition : clear transaksi baru success
20201016 13:50:29 Home condition : entered into home page
20201016 13:54:07 Home condition : move to buka rekening
20201016 13:54:07 Buka rekening condition : entered into buka rekening jenis tujuan
20201016 13:54:09 Buka rekening condition : set tujuan rekening Menabung/Investasi success
20201016 13:54:09 Buka rekening condition : move to buka rekening ktp
20201016 13:54:09 Buka rekening condition : entered into buka rekening ktp
20201016 13:54:12 Buka rekening condition : id scanner front swallow
20201016 13:54:12 ID scanner condition : open device list success
20201016 13:54:12 ID scanner condition : open device success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : set back entry success
20201016 13:54:12 ID scanner condition : set front entry success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
20201016 13:54:12 ID scanner condition : get status success
