20201021 11:00:33 Home condition : clear transaksi success
20201021 11:00:33 Home condition : clear array success
20201021 11:00:33 Home condition : clear array nasabah success
20201021 11:00:33 Home condition : clear list success
20201021 11:00:33 Home condition : clear transaksi baru success
20201021 11:00:34 Home condition : clear transaksi success
20201021 11:00:34 Home condition : clear array success
20201021 11:00:34 Home condition : clear array nasabah success
20201021 11:00:34 Home condition : clear list success
20201021 11:00:34 Home condition : clear transaksi baru success
20201021 11:00:34 Home condition : entered into home page
20201021 11:00:38 Home condition : move to ganti pin
20201021 11:00:38 Ganti pin condition : entered into ganti pin input kartu
20201021 11:00:40 Ganti pin condition : input pin success
20201021 11:00:40 Ganti pin condition : move to ganti pin input pin
20201021 11:00:40 Ganti pin condition : entered into ganti pin input pin
20201021 11:00:41 Ganti pin condition : EDC process start
20201021 11:00:41 Ganti pin condition : EDC serial port close
20201021 11:00:41 Ganti pin condition : EDC serial port open
20201021 11:00:41 Ganti pin condition : EDC serial port write
20201021 11:00:41 Ganti pin condition : EDC serial port already open
20201021 11:00:42 Ganti pin condition : EDC serial port already open
20201021 11:00:42 Ganti pin condition : EDC serial port already open
20201021 11:00:42 Ganti pin condition : EDC serial port already open
20201021 11:00:42 Ganti pin condition : EDC serial port already open
20201021 11:00:42 Ganti pin condition : EDC serial port already open
20201021 11:00:42 Ganti pin condition : EDC serial port already open
20201021 11:00:43 Ganti pin condition : EDC serial port already open
20201021 11:00:43 Ganti pin condition : EDC serial port already open
20201021 11:00:43 Ganti pin condition : EDC serial port already open
20201021 11:00:43 Ganti pin condition : EDC serial port already open
20201021 11:00:43 Ganti pin condition : EDC serial port already open
20201021 11:00:43 Ganti pin condition : EDC serial port already open
20201021 11:00:43 Ganti pin condition : EDC serial port already open
20201021 11:00:44 Ganti pin condition : EDC serial port already open
20201021 11:00:44 Ganti pin condition : EDC serial port already open
20201021 11:00:44 Ganti pin condition : EDC serial port already open
20201021 11:00:44 Ganti pin condition : EDC serial port already open
20201021 11:00:44 Ganti pin condition : EDC serial port already open
20201021 11:00:44 Ganti pin condition : EDC serial port already open
20201021 11:00:45 Ganti pin condition : EDC serial port already open
20201021 11:00:45 Ganti pin condition : EDC serial port already open
20201021 11:00:45 Ganti pin condition : EDC serial port already open
20201021 11:00:45 Ganti pin condition : EDC serial port already open
20201021 11:00:45 Ganti pin condition : EDC serial port already open
20201021 11:00:45 Ganti pin condition : EDC serial port already open
20201021 11:00:46 Ganti pin condition : EDC serial port already open
20201021 11:00:46 Ganti pin condition : EDC serial port already open
20201021 11:00:46 Ganti pin condition : EDC serial port already open
20201021 11:00:46 Ganti pin condition : EDC serial port already open
20201021 11:00:46 Ganti pin condition : EDC serial port already open
20201021 11:00:46 Ganti pin condition : EDC serial port already open
20201021 11:00:47 Ganti pin condition : EDC serial port already open
20201021 11:00:47 Ganti pin condition : EDC serial port already open
20201021 11:00:47 Ganti pin condition : EDC serial port already open
20201021 11:00:47 Ganti pin condition : EDC serial port already open
20201021 11:00:47 Ganti pin condition : EDC serial port already open
20201021 11:00:47 Ganti pin condition : EDC serial port already open
20201021 11:00:47 Ganti pin condition : EDC serial port already open
20201021 11:00:48 Ganti pin condition : EDC serial port already open
20201021 11:00:48 Ganti pin condition : EDC serial port already open
20201021 11:00:48 Ganti pin condition : EDC serial port already open
20201021 11:00:48 Ganti pin condition : EDC serial port already open
20201021 11:00:48 Ganti pin condition : EDC serial port already open
20201021 11:00:48 Ganti pin condition : EDC serial port already open
20201021 11:00:49 Ganti pin condition : EDC serial port already open
20201021 11:00:49 Ganti pin condition : EDC serial port already open
20201021 11:00:49 Ganti pin condition : EDC serial port already open
20201021 11:00:49 Ganti pin condition : EDC serial port already open
20201021 11:00:49 Ganti pin condition : EDC serial port already open
20201021 11:00:49 Ganti pin condition : EDC serial port already open
20201021 11:00:50 Ganti pin condition : EDC serial port already open
20201021 11:00:50 Ganti pin condition : EDC serial port already open
20201021 11:00:50 Ganti pin condition : EDC serial port already open
20201021 11:00:50 Ganti pin condition : EDC serial port already open
20201021 11:00:50 Ganti pin condition : EDC serial port already open
20201021 11:00:50 Ganti pin condition : EDC serial port already open
20201021 11:00:51 Ganti pin condition : EDC serial port already open
20201021 11:00:51 Ganti pin condition : EDC serial port already open
20201021 11:00:51 Ganti pin condition : EDC serial port already open
20201021 11:00:51 Ganti pin condition : EDC serial port already open
20201021 11:00:51 Ganti pin condition : EDC serial port already open
20201021 11:00:51 Ganti pin condition : EDC serial port already open
20201021 11:00:51 Ganti pin condition : EDC serial port already open
20201021 11:00:52 Ganti pin condition : EDC serial port already open
20201021 11:00:52 Ganti pin condition : EDC serial port already open
20201021 11:00:52 Ganti pin condition : EDC serial port already open
20201021 11:00:52 Ganti pin condition : EDC serial port already open
20201021 11:00:52 Ganti pin condition : EDC serial port already open
20201021 11:00:52 Ganti pin condition : EDC serial port already open
20201021 11:00:53 Ganti pin condition : EDC serial port already open
20201021 11:00:53 Ganti pin condition : EDC serial port already open
20201021 11:00:53 Ganti pin condition : EDC serial port already open
20201021 11:00:53 Ganti pin condition : EDC serial port already open
20201021 11:00:53 Ganti pin condition : EDC serial port already open
20201021 11:00:53 Ganti pin condition : EDC serial port already open
20201021 11:00:53 Ganti pin condition : EDC serial port already open
20201021 11:00:54 Ganti pin condition : EDC serial port already open
20201021 11:00:54 Ganti pin condition : EDC serial port already open
20201021 11:00:54 Ganti pin condition : EDC serial port already open
20201021 11:00:54 Ganti pin condition : EDC serial port already open
20201021 11:00:54 Ganti pin condition : EDC serial port already open
20201021 11:00:54 Ganti pin condition : EDC serial port already open
20201021 11:00:55 Ganti pin condition : EDC serial port already open
20201021 11:00:55 Ganti pin condition : EDC serial port already open
20201021 11:00:55 Ganti pin condition : EDC serial port already open
20201021 11:00:55 Ganti pin condition : EDC serial port already open
20201021 11:00:55 Ganti pin condition : EDC serial port already open
20201021 11:00:55 Ganti pin condition : EDC serial port already open
20201021 11:00:56 Ganti pin condition : EDC serial port already open
20201021 11:00:56 Ganti pin condition : EDC serial port already open
20201021 11:00:56 Ganti pin condition : EDC serial port already open
20201021 11:00:56 Ganti pin condition : EDC serial port already open
20201021 11:00:56 Ganti pin condition : EDC serial port already open
20201021 11:00:56 Ganti pin condition : EDC serial port already open
20201021 11:00:56 Ganti pin condition : EDC serial port already open
20201021 11:00:57 Ganti pin condition : EDC serial port already open
20201021 11:00:57 Ganti pin condition : EDC serial port already open
20201021 11:00:57 Ganti pin condition : EDC serial port already open
20201021 11:00:57 Ganti pin condition : EDC serial port already open
20201021 11:00:57 Ganti pin condition : EDC serial port already open
20201021 11:00:57 Ganti pin condition : EDC serial port already open
20201021 11:00:58 Ganti pin condition : EDC serial port already open
20201021 11:00:58 Ganti pin condition : EDC serial port already open
20201021 11:00:58 Ganti pin condition : EDC serial port already open
20201021 11:00:58 Ganti pin condition : EDC serial port already open
20201021 11:00:58 Ganti pin condition : EDC serial port already open
20201021 11:00:58 Ganti pin condition : EDC serial port already open
20201021 11:00:59 Ganti pin condition : EDC serial port already open
20201021 11:00:59 Ganti pin condition : EDC serial port already open
20201021 11:00:59 Ganti pin condition : EDC serial port already open
20201021 11:00:59 Ganti pin condition : EDC serial port already open
20201021 11:00:59 Ganti pin condition : EDC serial port already open
20201021 11:00:59 Ganti pin condition : EDC serial port already open
20201021 11:00:59 Ganti pin condition : EDC serial port already open
20201021 11:01:00 Ganti pin condition : EDC serial port already open
20201021 11:01:00 Ganti pin condition : EDC serial port already open
20201021 11:01:00 Ganti pin condition : EDC serial port already open
20201021 11:01:00 Ganti pin condition : EDC serial port already open
20201021 11:01:00 Ganti pin condition : EDC serial port already open
20201021 11:01:00 Ganti pin condition : EDC serial port already open
20201021 11:01:01 Ganti pin condition : EDC serial port already open
20201021 11:01:01 Ganti pin condition : EDC serial port already open
20201021 11:01:01 Ganti pin condition : EDC serial port already open
20201021 11:01:01 Ganti pin condition : EDC serial port already open
20201021 11:01:01 Ganti pin condition : EDC serial port already open
20201021 11:01:01 Ganti pin condition : EDC serial port already open
20201021 11:01:02 Ganti pin condition : EDC serial port already open
20201021 11:01:02 Ganti pin condition : EDC serial port already open
20201021 11:01:02 Ganti pin condition : EDC serial port already open
20201021 11:01:02 Ganti pin condition : EDC serial port already open
20201021 11:01:02 Ganti pin condition : EDC serial port already open
20201021 11:01:02 Ganti pin condition : EDC serial port already open
