20201202 10:26:14 Home condition : clear transaksi success
20201202 10:26:14 Home condition : clear transaction log success
20201202 10:26:14 Home condition : clear array success
20201202 10:26:14 Home condition : clear array nasabah success
20201202 10:26:14 Home condition : clear list success
20201202 10:26:14 Home condition : clear transaksi baru success
20201202 10:26:14 Home condition : clear transaksi success
20201202 10:26:14 Home condition : clear transaction log success
20201202 10:26:14 Home condition : clear array success
20201202 10:26:14 Home condition : clear array nasabah success
20201202 10:26:14 Home condition : clear list success
20201202 10:26:14 Home condition : clear transaksi baru success
20201202 10:26:27 Home condition : entered into insert debit
20201202 10:26:32 Home condition : input kartu success
20201202 10:26:32 Home condition : move to input pin
20201202 10:27:14 Home condition : clear transaksi success
20201202 10:27:14 Home condition : clear transaction log success
20201202 10:27:14 Home condition : clear array success
20201202 10:27:14 Home condition : clear array nasabah success
20201202 10:27:14 Home condition : clear list success
20201202 10:27:14 Home condition : clear transaksi baru success
20201202 10:27:15 Home condition : clear transaksi success
20201202 10:27:15 Home condition : clear transaction log success
20201202 10:27:15 Home condition : clear array success
20201202 10:27:15 Home condition : clear array nasabah success
20201202 10:27:15 Home condition : clear list success
20201202 10:27:15 Home condition : clear transaksi baru success
20201202 10:27:58 Home condition : entered into insert debit
20201202 10:28:03 Home condition : input kartu success
20201202 10:28:03 Home condition : move to input pin
20201202 10:28:44 Home condition : clear transaksi success
20201202 10:28:44 Home condition : clear transaction log success
20201202 10:28:44 Home condition : clear array success
20201202 10:28:44 Home condition : clear array nasabah success
20201202 10:28:44 Home condition : clear list success
20201202 10:28:44 Home condition : clear transaksi baru success
20201202 10:28:44 Home condition : clear transaksi success
20201202 10:28:44 Home condition : clear transaction log success
20201202 10:28:44 Home condition : clear array success
20201202 10:28:44 Home condition : clear array nasabah success
20201202 10:28:44 Home condition : clear list success
20201202 10:28:44 Home condition : clear transaksi baru success
20201202 10:28:47 Home condition : input kartu success
20201202 10:28:47 Home condition : move to input pin
20201202 10:28:49 Home condition : entered into insert debit
20201202 10:29:31 Home condition : clear transaksi success
20201202 10:29:31 Home condition : clear transaction log success
20201202 10:29:32 Home condition : clear array success
20201202 10:29:32 Home condition : clear array nasabah success
20201202 10:29:32 Home condition : clear list success
20201202 10:29:32 Home condition : clear transaksi baru success
20201202 10:29:32 Home condition : clear transaksi success
20201202 10:29:32 Home condition : clear transaction log success
20201202 10:29:32 Home condition : clear array success
20201202 10:29:32 Home condition : clear array nasabah success
20201202 10:29:32 Home condition : clear list success
20201202 10:29:32 Home condition : clear transaksi baru success
20201202 10:29:33 Home condition : input kartu success
20201202 10:29:33 Home condition : move to input pin
20201202 10:29:36 Home condition : EDC process start
20201202 10:29:36 Home condition : entered into insert debit
20201202 10:29:38 Home condition : EDC serial port close
20201202 10:29:38 Home condition : EDC serial port open
20201202 10:29:39 Home condition : EDC serial port write
20201202 10:29:39 Home condition : EDC serial port already open
20201202 10:29:39 Home condition : EDC serial port already open
20201202 10:29:39 Home condition : EDC serial port already open
20201202 10:29:40 Home condition : EDC serial port already open
20201202 10:29:40 Home condition : EDC serial port already open
20201202 10:29:40 Home condition : EDC serial port already open
20201202 10:29:40 Home condition : EDC serial port already open
20201202 10:29:41 Home condition : EDC serial port already open
20201202 10:29:41 Home condition : EDC serial port already open
20201202 10:29:41 Home condition : EDC serial port already open
20201202 10:29:42 Home condition : EDC serial port already open
20201202 10:29:42 Home condition : EDC serial port already open
20201202 10:29:42 Home condition : EDC serial port already open
20201202 10:29:42 Home condition : EDC serial port already open
20201202 10:29:43 Home condition : EDC serial port already open
20201202 10:29:43 Home condition : EDC serial port already open
20201202 10:29:43 Home condition : EDC serial port already open
20201202 10:29:43 Home condition : EDC serial port already open
20201202 10:29:44 Home condition : EDC serial port already open
20201202 10:29:44 Home condition : EDC serial port already open
20201202 10:29:44 Home condition : EDC serial port already open
20201202 10:29:45 Home condition : EDC serial port already open
20201202 10:29:45 Home condition : EDC serial port already open
20201202 10:29:45 Home condition : EDC serial port already open
20201202 10:29:45 Home condition : EDC serial port already open
20201202 10:29:46 Home condition : EDC serial port already open
20201202 10:29:46 Home condition : EDC serial port already open
20201202 10:29:46 Home condition : EDC serial port already open
20201202 10:29:46 Home condition : EDC serial port already open
20201202 10:29:47 Home condition : EDC serial port already open
20201202 10:29:47 Home condition : EDC serial port already open
20201202 10:29:47 Home condition : EDC serial port already open
20201202 10:29:48 Home condition : EDC serial port already open
20201202 10:29:48 Home condition : EDC serial port already open
20201202 10:29:48 Home condition : EDC serial port already open
20201202 10:29:48 Home condition : EDC serial port already open
20201202 10:29:49 Home condition : EDC serial port already open
20201202 10:29:49 Home condition : EDC serial port already open
20201202 10:29:49 Home condition : EDC serial port already open
20201202 10:29:50 Home condition : EDC serial port already open
20201202 10:29:50 Home condition : EDC serial port already open
20201202 10:29:50 Home condition : EDC serial port already open
20201202 10:29:50 Home condition : EDC serial port already open
20201202 10:29:51 Home condition : EDC serial port already open
20201202 10:29:51 Home condition : EDC serial port already open
20201202 10:29:51 Home condition : EDC serial port already open
20201202 10:29:51 Home condition : EDC serial port already open
20201202 10:29:52 Home condition : EDC serial port already open
20201202 10:29:52 Home condition : EDC serial port already open
20201202 10:29:52 Home condition : EDC serial port already open
20201202 10:29:53 Home condition : EDC serial port already open
20201202 10:29:53 Home condition : EDC serial port already open
20201202 10:29:53 Home condition : EDC serial port already open
20201202 10:29:53 Home condition : EDC serial port already open
20201202 10:29:54 Home condition : EDC serial port already open
20201202 10:29:54 Home condition : EDC serial port already open
20201202 10:29:54 Home condition : EDC serial port already open
20201202 10:29:54 Home condition : EDC serial port already open
20201202 10:29:55 Home condition : EDC serial port already open
