20201203 11:03:13 Home condition : clear transaksi success
20201203 11:03:13 Home condition : clear transaction log success
20201203 11:03:13 Home condition : clear array success
20201203 11:03:13 Home condition : clear array nasabah success
20201203 11:03:13 Home condition : clear list success
20201203 11:03:13 Home condition : clear transaksi baru success
20201203 11:03:14 Home condition : clear transaksi success
20201203 11:03:14 Home condition : clear transaction log success
20201203 11:03:14 Home condition : clear array success
20201203 11:03:14 Home condition : clear array nasabah success
20201203 11:03:14 Home condition : clear list success
20201203 11:03:14 Home condition : clear transaksi baru success
20201203 11:03:17 Home condition : input kartu success
20201203 11:03:17 Home condition : move to input pin
20201203 11:03:17 Home condition : EDC process start
20201203 11:03:17 Home condition : entered into insert debit
20201203 11:03:17 Home condition : EDC serial port close
20201203 11:03:17 Home condition : EDC serial port open
20201203 11:03:17 Home condition : EDC error --> Access to the path 'COM3' is denied.
20201203 11:03:17 Home condition : EDC serial port write
20201203 11:03:17 Home condition : EDC error --> The port is closed.
20201203 11:05:34 Home condition : clear transaksi success
20201203 11:05:34 Home condition : clear transaction log success
20201203 11:05:34 Home condition : clear array success
20201203 11:05:34 Home condition : clear array nasabah success
20201203 11:05:34 Home condition : clear list success
20201203 11:05:34 Home condition : clear transaksi baru success
20201203 11:05:35 Home condition : clear transaksi success
20201203 11:05:35 Home condition : clear transaction log success
20201203 11:05:35 Home condition : clear array success
20201203 11:05:35 Home condition : clear array nasabah success
20201203 11:05:35 Home condition : clear list success
20201203 11:05:35 Home condition : clear transaksi baru success
20201203 11:05:45 Home condition : input kartu success
20201203 11:05:45 Home condition : move to input pin
20201203 11:05:45 Home condition : EDC process start
20201203 11:05:45 Home condition : entered into insert debit
20201203 11:05:45 Home condition : EDC serial port close
20201203 11:05:45 Home condition : EDC serial port open
20201203 11:05:45 Home condition : EDC serial port write
20201203 11:05:45 Home condition : EDC serial port already open
20201203 11:05:45 Home condition : EDC serial port already open
20201203 11:05:46 Home condition : EDC serial port already open
20201203 11:05:46 Home condition : EDC serial port already open
20201203 11:05:46 Home condition : EDC serial port already open
20201203 11:05:47 Home condition : EDC serial port already open
20201203 11:05:47 Home condition : EDC serial port already open
20201203 11:05:47 Home condition : EDC serial port already open
20201203 11:05:47 Home condition : EDC serial port already open
20201203 11:05:48 Home condition : EDC serial port already open
20201203 11:05:48 Home condition : EDC serial port already open
20201203 11:05:48 Home condition : EDC serial port already open
20201203 11:05:48 Home condition : EDC serial port already open
20201203 11:05:49 Home condition : EDC serial port already open
20201203 11:05:49 Home condition : EDC serial port already open
20201203 11:05:49 Home condition : EDC serial port already open
20201203 11:05:49 Home condition : EDC serial port already open
20201203 11:05:50 Home condition : EDC serial port already open
20201203 11:05:50 Home condition : EDC serial port already open
20201203 11:05:50 Home condition : EDC serial port already open
20201203 11:05:51 Home condition : EDC serial port already open
20201203 11:05:51 Home condition : EDC serial port already open
20201203 11:05:51 Home condition : EDC serial port already open
20201203 11:05:51 Home condition : EDC serial port already open
20201203 11:05:52 Home condition : EDC serial port already open
20201203 11:05:52 Home condition : EDC serial port already open
20201203 11:05:52 Home condition : EDC serial port already open
20201203 11:05:52 Home condition : EDC serial port already open
20201203 11:05:53 Home condition : EDC serial port already open
20201203 11:05:53 Home condition : EDC serial port already open
20201203 11:05:53 Home condition : EDC serial port already open
20201203 11:05:54 Home condition : EDC serial port already open
20201203 11:05:54 Home condition : EDC serial port already open
20201203 11:05:54 Home condition : EDC serial port already open
20201203 11:05:54 Home condition : EDC serial port already open
20201203 11:05:55 Home condition : EDC serial port already open
20201203 11:05:55 Home condition : EDC serial port already open
20201203 11:05:55 Home condition : EDC serial port already open
20201203 11:05:55 Home condition : EDC serial port already open
20201203 11:05:56 Home condition : EDC serial port already open
20201203 11:05:56 Home condition : EDC serial port already open
20201203 11:05:56 Home condition : EDC serial port already open
20201203 11:05:57 Home condition : EDC serial port already open
20201203 11:05:57 Home condition : EDC serial port already open
20201203 11:05:57 Home condition : EDC serial port already open
20201203 11:05:57 Home condition : EDC serial port already open
20201203 11:05:58 Home condition : EDC serial port already open
20201203 11:05:58 Home condition : EDC serial port already open
20201203 11:05:58 Home condition : EDC serial port already open
20201203 11:05:58 Home condition : EDC serial port already open
20201203 11:05:59 Home condition : EDC serial port already open
20201203 11:05:59 Home condition : EDC serial port already open
20201203 11:05:59 Home condition : EDC serial port already open
20201203 11:05:59 Home condition : EDC serial port already open
20201203 11:06:00 Home condition : EDC serial port already open
20201203 11:06:00 Home condition : EDC serial port close
20201203 11:06:00 Home condition : entered into histori input pin
20201203 11:06:00 Home condition : EDC process start
20201203 11:06:00 Home condition : EDC serial port close
20201203 11:06:00 Home condition : EDC serial port open
20201203 11:06:00 Home condition : EDC serial port write
20201203 11:06:00 Home condition : EDC serial port already open
20201203 11:06:01 Home condition : EDC serial port already open
20201203 11:06:01 Home condition : EDC serial port already open
20201203 11:06:01 Home condition : EDC serial port already open
20201203 11:06:01 Home condition : EDC serial port already open
20201203 11:06:02 Home condition : EDC serial port already open
20201203 11:06:02 Home condition : EDC serial port already open
20201203 11:06:02 Home condition : EDC serial port already open
20201203 11:06:02 Home condition : EDC serial port already open
20201203 11:06:03 Home condition : EDC serial port already open
20201203 11:06:03 Home condition : EDC serial port already open
20201203 11:06:03 Home condition : EDC serial port already open
20201203 11:06:03 Home condition : EDC serial port already open
20201203 11:06:04 Home condition : EDC serial port already open
20201203 11:06:04 Home condition : EDC serial port already open
20201203 11:06:04 Home condition : EDC serial port already open
20201203 11:06:05 Home condition : EDC serial port already open
20201203 11:06:05 Home condition : EDC serial port already open
20201203 11:06:05 Home condition : EDC serial port already open
20201203 11:06:05 Home condition : EDC serial port already open
20201203 11:06:06 Home condition : EDC serial port already open
20201203 11:06:06 Home condition : EDC serial port already open
20201203 11:06:06 Home condition : EDC serial port already open
20201203 11:06:06 Home condition : EDC serial port already open
20201203 11:06:07 Home condition : EDC serial port already open
20201203 11:06:07 Home condition : EDC serial port already open
20201203 11:06:07 Home condition : EDC serial port already open
20201203 11:06:08 Home condition : EDC serial port already open
20201203 11:06:08 Home condition : EDC serial port already open
20201203 11:06:08 Home condition : EDC serial port already open
20201203 11:06:08 Home condition : EDC serial port already open
20201203 11:06:09 Home condition : EDC serial port already open
20201203 11:06:09 Home condition : EDC serial port already open
20201203 11:06:09 Home condition : EDC serial port already open
20201203 11:06:09 Home condition : EDC serial port already open
20201203 11:06:10 Home condition : EDC serial port already open
20201203 11:06:10 Home condition : EDC serial port already open
20201203 11:06:10 Home condition : EDC serial port already open
20201203 11:06:11 Home condition : EDC serial port already open
20201203 11:06:11 Home condition : EDC serial port already open
20201203 11:06:11 Home condition : EDC serial port already open
20201203 11:06:11 Home condition : EDC serial port already open
20201203 11:06:12 Home condition : EDC serial port already open
20201203 11:06:12 Home condition : EDC serial port already open
20201203 11:06:12 Home condition : EDC serial port already open
20201203 11:06:13 Home condition : EDC serial port already open
20201203 11:06:13 Home condition : EDC serial port already open
20201203 11:06:13 Home condition : EDC serial port already open
20201203 11:06:13 Home condition : EDC serial port already open
20201203 11:06:14 Home condition : EDC serial port already open
20201203 11:06:14 Home condition : EDC serial port already open
20201203 11:06:14 Home condition : EDC serial port already open
20201203 11:06:14 Home condition : EDC serial port already open
20201203 11:06:15 Home condition : EDC serial port already open
20201203 11:06:15 Home condition : EDC serial port already open
20201203 11:06:15 Home condition : EDC serial port already open
20201203 11:06:16 Home condition : EDC serial port already open
20201203 11:06:16 Home condition : EDC serial port already open
20201203 11:06:16 Home condition : EDC serial port already open
20201203 11:06:16 Home condition : EDC serial port already open
20201203 11:06:17 Home condition : EDC serial port already open
20201203 11:06:17 Home condition : EDC serial port already open
20201203 11:06:17 Home condition : EDC serial port already open
20201203 11:06:17 Home condition : EDC serial port already open
20201203 11:06:18 Home condition : EDC serial port already open
20201203 11:06:18 Home condition : EDC serial port already open
20201203 11:06:18 Home condition : 1
20201203 11:06:18 Home condition : EDC pin 1
20201203 11:06:18 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : 11
20201203 11:06:19 Home condition : EDC pin 1
20201203 11:06:20 Home condition : EDC serial port already open
20201203 11:06:20 Home condition : EDC serial port already open
20201203 11:06:20 Home condition : EDC serial port already open
20201203 11:06:20 Home condition : 111
20201203 11:06:20 Home condition : EDC pin 1
20201203 11:06:20 Home condition : EDC serial port already open
