20201211 11:00:16 Home condition : clear transaksi success
20201211 11:00:16 Home condition : clear transaction log success
20201211 11:00:16 Home condition : clear array success
20201211 11:00:16 Home condition : clear array nasabah success
20201211 11:00:16 Home condition : clear list success
20201211 11:00:16 Home condition : clear transaksi baru success
20201211 11:00:25 Home condition : clear transaksi success
20201211 11:00:25 Home condition : clear transaction log success
20201211 11:00:25 Home condition : clear array success
20201211 11:00:25 Home condition : clear array nasabah success
20201211 11:00:25 Home condition : clear list success
20201211 11:00:25 Home condition : clear transaksi baru success
20201211 11:00:28 Home condition : input kartu success
20201211 11:00:28 Home condition : move to input pin
20201211 11:00:28 Home condition : EDC process start
20201211 11:00:28 Home condition : entered into insert debit
20201211 11:00:28 Home condition : EDC serial port close
20201211 11:00:28 Home condition : EDC serial port open
20201211 11:00:28 Home condition : EDC serial port write
20201211 11:00:28 Home condition : EDC serial port already open
20201211 11:00:29 Home condition : EDC serial port close
20201211 11:00:29 Home condition : EDC serial port close
20201211 11:00:29 Home condition : EDC serial port open
20201211 11:00:29 Home condition : EDC serial port write
20201211 11:00:29 Home condition : EDC serial port already open
20201211 11:00:29 Home condition : EDC serial port already open
20201211 11:00:29 Home condition : EDC serial port already open
20201211 11:00:30 Home condition : EDC serial port already open
20201211 11:00:30 Home condition : EDC serial port already open
20201211 11:00:30 Home condition : EDC serial port already open
20201211 11:00:31 Home condition : EDC serial port already open
20201211 11:00:31 Home condition : EDC serial port already open
20201211 11:00:31 Home condition : EDC serial port already open
20201211 11:00:32 Home condition : EDC serial port already open
20201211 11:00:32 Home condition : EDC serial port already open
20201211 11:00:32 Home condition : EDC serial port already open
20201211 11:00:32 Home condition : EDC serial port already open
20201211 11:00:33 Home condition : EDC serial port already open
20201211 11:00:33 Home condition : EDC serial port already open
20201211 11:00:33 Home condition : EDC serial port already open
20201211 11:00:34 Home condition : EDC serial port already open
20201211 11:00:34 Home condition : EDC serial port already open
20201211 11:00:34 Home condition : EDC serial port already open
20201211 11:00:34 Home condition : EDC serial port already open
20201211 11:00:35 Home condition : EDC serial port already open
20201211 11:00:35 Home condition : EDC serial port already open
20201211 11:00:35 Home condition : EDC serial port already open
20201211 11:00:36 Home condition : EDC serial port already open
20201211 11:00:36 Home condition : EDC serial port already open
20201211 11:00:36 Home condition : EDC serial port already open
20201211 11:00:36 Home condition : EDC serial port already open
20201211 11:00:37 Home condition : EDC serial port already open
20201211 11:00:37 Home condition : EDC serial port already open
20201211 11:00:37 Home condition : EDC serial port already open
20201211 11:00:37 Home condition : EDC serial port already open
20201211 11:00:38 Home condition : EDC serial port already open
20201211 11:00:38 Home condition : EDC serial port already open
20201211 11:00:38 Home condition : EDC serial port already open
20201211 11:00:39 Home condition : EDC serial port already open
20201211 11:00:39 Home condition : EDC serial port already open
20201211 11:00:39 Home condition : EDC serial port already open
20201211 11:00:39 Home condition : EDC serial port already open
20201211 11:00:40 Home condition : EDC serial port already open
20201211 11:00:40 Home condition : EDC serial port already open
20201211 11:00:40 Home condition : EDC serial port already open
20201211 11:00:41 Home condition : EDC serial port already open
20201211 11:00:41 Home condition : EDC serial port already open
20201211 11:00:41 Home condition : EDC serial port already open
20201211 11:00:41 Home condition : EDC serial port already open
20201211 11:00:42 Home condition : EDC serial port already open
20201211 11:00:42 Home condition : EDC serial port already open
20201211 11:00:42 Home condition : EDC serial port already open
20201211 11:00:43 Home condition : EDC serial port already open
20201211 11:00:43 Home condition : EDC serial port already open
20201211 11:00:43 Home condition : EDC serial port already open
20201211 11:00:43 Home condition : EDC serial port already open
20201211 11:00:44 Home condition : EDC serial port already open
20201211 11:00:44 Home condition : EDC serial port already open
20201211 11:00:44 Home condition : EDC serial port already open
20201211 11:00:45 Home condition : EDC serial port already open
20201211 11:00:45 Home condition : EDC serial port already open
20201211 11:00:45 Home condition : EDC serial port already open
20201211 11:00:45 Home condition : EDC serial port already open
20201211 11:00:46 Home condition : EDC serial port already open
20201211 11:00:46 Home condition : EDC serial port already open
20201211 11:00:46 Home condition : EDC serial port already open
20201211 11:00:46 Home condition : EDC serial port already open
20201211 11:00:47 Home condition : EDC serial port already open
20201211 11:00:47 Home condition : EDC serial port already open
20201211 11:00:47 Home condition : EDC serial port already open
20201211 11:00:48 Home condition : EDC serial port already open
20201211 11:00:48 Home condition : EDC serial port already open
20201211 11:00:48 Home condition : EDC serial port already open
20201211 11:00:48 Home condition : EDC serial port already open
20201211 11:00:49 Home condition : EDC serial port already open
20201211 11:00:49 Home condition : EDC serial port already open
20201211 11:00:49 Home condition : EDC serial port already open
20201211 11:00:50 Home condition : EDC serial port already open
20201211 11:00:50 Home condition : EDC serial port already open
20201211 11:00:50 Home condition : EDC serial port already open
20201211 11:00:50 Home condition : EDC serial port already open
20201211 11:00:51 Home condition : EDC serial port already open
20201211 11:00:51 Home condition : EDC serial port already open
20201211 11:00:51 Home condition : EDC serial port already open
20201211 11:00:52 Home condition : EDC serial port already open
20201211 11:00:52 Home condition : EDC serial port already open
20201211 11:00:52 Home condition : EDC serial port already open
20201211 11:00:52 Home condition : EDC serial port already open
20201211 11:00:53 Home condition : EDC serial port already open
20201211 11:00:53 Home condition : EDC serial port already open
20201211 11:00:53 Home condition : EDC serial port already open
20201211 11:00:54 Home condition : EDC serial port already open
20201211 11:00:54 Home condition : EDC serial port already open
20201211 11:00:54 Home condition : EDC serial port already open
20201211 11:00:54 Home condition : EDC serial port already open
20201211 11:00:55 Home condition : EDC serial port already open
20201211 11:00:55 Home condition : EDC serial port already open
20201211 11:00:55 Home condition : EDC serial port already open
20201211 11:00:55 Home condition : EDC serial port already open
20201211 11:00:56 Home condition : EDC serial port already open
20201211 11:00:56 Home condition : EDC serial port already open
20201211 11:00:56 Home condition : EDC serial port already open
20201211 11:00:57 Home condition : EDC serial port already open
20201211 11:00:57 Home condition : EDC serial port already open
20201211 11:00:57 Home condition : EDC serial port already open
20201211 11:00:57 Home condition : EDC serial port already open
20201211 11:00:58 Home condition : EDC serial port already open
20201211 11:00:58 Home condition : EDC serial port already open
20201211 11:00:58 Home condition : EDC serial port already open
20201211 11:00:59 Home condition : EDC serial port already open
20201211 11:00:59 Home condition : EDC serial port already open
20201211 11:00:59 Home condition : EDC serial port already open
20201211 11:00:59 Home condition : EDC serial port already open
20201211 11:01:00 Home condition : EDC serial port already open
20201211 11:01:00 Home condition : EDC serial port already open
20201211 11:01:00 Home condition : EDC serial port already open
20201211 11:01:01 Home condition : EDC serial port already open
20201211 11:01:01 Home condition : EDC serial port already open
20201211 11:01:01 Home condition : EDC serial port already open
20201211 11:01:01 Home condition : EDC serial port already open
20201211 11:01:02 Home condition : EDC serial port already open
20201211 11:01:02 Home condition : EDC serial port already open
20201211 11:01:02 Home condition : EDC serial port already open
20201211 11:01:02 Home condition : EDC serial port already open
20201211 11:01:03 Home condition : EDC serial port already open
20201211 11:01:03 Home condition : EDC serial port already open
20201211 11:01:03 Home condition : EDC serial port already open
20201211 11:01:04 Home condition : EDC serial port already open
20201211 11:01:04 Home condition : EDC serial port already open
20201211 11:01:04 Home condition : EDC serial port already open
20201211 11:01:04 Home condition : EDC serial port already open
20201211 11:01:05 Home condition : EDC serial port already open
20201211 11:01:05 Home condition : EDC serial port already open
20201211 11:01:05 Home condition : EDC serial port already open
20201211 11:01:06 Home condition : EDC serial port already open
20201211 11:01:06 Home condition : EDC serial port already open
20201211 11:01:06 Home condition : EDC serial port already open
20201211 11:01:06 Home condition : EDC serial port already open
20201211 11:01:07 Home condition : EDC serial port already open
20201211 11:01:07 Home condition : EDC serial port already open
20201211 11:01:07 Home condition : EDC serial port already open
20201211 11:01:08 Home condition : EDC serial port already open
20201211 11:01:08 Home condition : EDC serial port already open
20201211 11:01:08 Home condition : EDC serial port already open
20201211 11:01:08 Home condition : EDC serial port already open
20201211 11:01:09 Home condition : EDC serial port already open
20201211 11:01:09 Home condition : EDC serial port already open
20201211 11:01:09 Home condition : EDC serial port already open
20201211 11:01:10 Home condition : EDC serial port already open
20201211 11:01:10 Home condition : EDC serial port already open
20201211 11:01:10 Home condition : EDC serial port already open
20201211 11:01:10 Home condition : EDC serial port already open
20201211 11:01:11 Home condition : EDC serial port already open
20201211 11:01:11 Home condition : EDC serial port already open
20201211 11:01:11 Home condition : EDC serial port already open
20201211 11:01:12 Home condition : EDC serial port already open
20201211 11:01:12 Home condition : EDC serial port already open
20201211 11:01:12 Home condition : EDC serial port already open
20201211 11:01:12 Home condition : EDC serial port already open
20201211 11:01:13 Home condition : EDC serial port already open
20201211 11:01:13 Home condition : EDC serial port already open
20201211 11:01:13 Home condition : EDC serial port already open
20201211 11:01:14 Home condition : EDC serial port already open
20201211 11:01:14 Home condition : EDC serial port already open
20201211 11:01:14 Home condition : EDC serial port already open
20201211 11:01:14 Home condition : EDC serial port already open
20201211 11:01:15 Home condition : EDC serial port already open
20201211 11:01:15 Home condition : EDC serial port already open
20201211 11:01:15 Home condition : EDC serial port already open
20201211 11:01:15 Home condition : EDC serial port already open
20201211 11:01:16 Home condition : EDC serial port already open
20201211 11:01:16 Home condition : EDC serial port already open
20201211 11:01:16 Home condition : EDC serial port already open
20201211 11:01:17 Home condition : EDC serial port already open
20201211 11:01:17 Home condition : EDC serial port already open
20201211 11:01:17 Home condition : EDC serial port already open
20201211 11:01:17 Home condition : EDC serial port already open
20201211 11:01:18 Home condition : EDC serial port already open
20201211 11:01:18 Home condition : EDC serial port already open
20201211 11:01:18 Home condition : EDC serial port already open
20201211 11:01:19 Home condition : EDC serial port already open
20201211 11:01:19 Home condition : EDC serial port already open
20201211 11:01:19 Home condition : EDC serial port already open
20201211 11:01:19 Home condition : EDC serial port already open
20201211 11:01:20 Home condition : EDC serial port already open
20201211 11:01:20 Home condition : EDC serial port already open
20201211 11:01:20 Home condition : EDC serial port already open
20201211 11:01:21 Home condition : EDC serial port already open
20201211 11:01:21 Home condition : EDC serial port already open
20201211 11:01:21 Home condition : EDC serial port already open
20201211 11:01:22 Home condition : EDC serial port already open
20201211 11:01:22 Home condition : EDC serial port already open
20201211 11:01:22 Home condition : EDC serial port already open
20201211 11:01:22 Home condition : EDC serial port already open
20201211 11:01:23 Home condition : EDC serial port already open
20201211 11:01:23 Home condition : EDC serial port already open
20201211 11:01:23 Home condition : EDC serial port already open
20201211 11:01:23 Home condition : EDC serial port already open
20201211 11:01:24 Home condition : EDC serial port already open
20201211 11:01:24 Home condition : EDC serial port already open
20201211 11:01:24 Home condition : EDC serial port already open
20201211 11:01:25 Home condition : EDC serial port already open
20201211 11:01:25 Home condition : EDC serial port already open
20201211 11:01:25 Home condition : EDC serial port already open
20201211 11:01:25 Home condition : EDC serial port already open
20201211 11:01:26 Home condition : EDC serial port already open
20201211 11:01:26 Home condition : EDC serial port already open
20201211 11:01:26 Home condition : EDC serial port already open
20201211 11:01:27 Home condition : EDC serial port already open
20201211 11:01:27 Home condition : EDC serial port already open
20201211 11:01:27 Home condition : EDC serial port already open
20201211 11:01:27 Home condition : EDC serial port already open
20201211 11:01:28 Home condition : EDC serial port already open
20201211 11:01:28 Home condition : EDC serial port already open
20201211 11:01:28 Home condition : EDC serial port already open
20201211 11:01:29 Home condition : EDC serial port already open
20201211 11:01:29 Home condition : EDC serial port already open
20201211 11:01:29 Home condition : EDC serial port already open
20201211 11:01:30 Home condition : EDC serial port already open
20201211 11:01:30 Home condition : EDC serial port already open
20201211 11:01:30 Home condition : EDC serial port already open
20201211 11:01:30 Home condition : EDC serial port already open
20201211 11:01:30 Home condition : EDC serial port close
20201211 11:02:13 Home condition : input kartu success
20201211 11:02:13 Home condition : move to input pin
20201211 11:02:13 Home condition : EDC process start
20201211 11:02:13 Home condition : entered into insert debit
20201211 11:02:13 Home condition : EDC serial port close
20201211 11:02:13 Home condition : EDC serial port open
20201211 11:02:13 Home condition : EDC serial port write
20201211 11:02:14 Home condition : EDC serial port already open
20201211 11:02:14 Home condition : EDC serial port close
20201211 11:02:14 Home condition : EDC serial port close
20201211 11:02:14 Home condition : EDC serial port open
20201211 11:02:14 Home condition : EDC serial port write
20201211 11:02:14 Home condition : EDC serial port already open
20201211 11:02:15 Home condition : EDC serial port already open
20201211 11:02:15 Home condition : EDC serial port already open
20201211 11:02:15 Home condition : EDC serial port already open
20201211 11:02:16 Home condition : EDC serial port already open
20201211 11:02:16 Home condition : EDC serial port already open
20201211 11:02:16 Home condition : EDC serial port already open
20201211 11:02:16 Home condition : EDC serial port already open
20201211 11:02:17 Home condition : EDC serial port already open
20201211 11:02:17 Home condition : EDC serial port already open
20201211 11:02:17 Home condition : EDC serial port already open
20201211 11:02:18 Home condition : EDC serial port already open
20201211 11:02:18 Home condition : EDC serial port already open
20201211 11:02:18 Home condition : EDC serial port already open
20201211 11:02:18 Home condition : EDC serial port already open
20201211 11:02:19 Home condition : EDC serial port already open
20201211 11:02:19 Home condition : EDC serial port already open
20201211 11:02:19 Home condition : EDC serial port already open
20201211 11:02:20 Home condition : EDC serial port already open
20201211 11:02:20 Home condition : EDC serial port already open
20201211 11:02:20 Home condition : EDC serial port already open
20201211 11:02:20 Home condition : EDC serial port already open
20201211 11:02:21 Home condition : EDC serial port already open
20201211 11:02:21 Home condition : EDC serial port already open
20201211 11:02:21 Home condition : EDC serial port already open
20201211 11:02:22 Home condition : EDC serial port already open
20201211 11:02:22 Home condition : EDC serial port already open
20201211 11:02:22 Home condition : EDC serial port already open
20201211 11:02:22 Home condition : EDC serial port already open
20201211 11:02:23 Home condition : EDC serial port already open
20201211 11:02:23 Home condition : EDC serial port already open
20201211 11:02:23 Home condition : EDC serial port already open
20201211 11:02:24 Home condition : EDC serial port already open
20201211 11:02:24 Home condition : EDC serial port already open
20201211 11:02:24 Home condition : EDC serial port already open
20201211 11:02:24 Home condition : EDC serial port close
20201211 11:02:34 Home condition : input kartu success
20201211 11:02:34 Home condition : move to input pin
20201211 11:02:34 Home condition : EDC process start
20201211 11:02:34 Home condition : entered into insert debit
20201211 11:02:34 Home condition : EDC serial port close
20201211 11:02:34 Home condition : EDC serial port open
20201211 11:02:34 Home condition : EDC serial port write
20201211 11:02:34 Home condition : EDC serial port already open
20201211 11:02:35 Home condition : EDC serial port close
20201211 11:02:35 Home condition : EDC serial port close
20201211 11:02:35 Home condition : EDC serial port open
20201211 11:02:35 Home condition : EDC serial port write
20201211 11:02:35 Home condition : EDC serial port already open
20201211 11:02:35 Home condition : EDC serial port already open
20201211 11:02:36 Home condition : EDC serial port already open
20201211 11:02:36 Home condition : EDC serial port already open
20201211 11:02:36 Home condition : EDC serial port already open
20201211 11:02:36 Home condition : EDC serial port already open
20201211 11:02:37 Home condition : EDC serial port already open
20201211 11:02:37 Home condition : EDC serial port already open
20201211 11:02:37 Home condition : EDC serial port already open
20201211 11:02:38 Home condition : EDC serial port already open
20201211 11:02:38 Home condition : EDC serial port already open
20201211 11:02:38 Home condition : EDC serial port already open
20201211 11:02:38 Home condition : EDC serial port already open
20201211 11:02:39 Home condition : EDC serial port already open
20201211 11:02:39 Home condition : EDC serial port already open
20201211 11:02:39 Home condition : EDC serial port already open
20201211 11:02:39 Home condition : EDC serial port close
20201211 11:02:39 Home condition : entered into histori input pin
20201211 11:02:39 Home condition : EDC process start
20201211 11:02:40 Home condition : EDC serial port close
20201211 11:02:40 Home condition : EDC serial port open
20201211 11:02:40 Home condition : EDC serial port write
20201211 11:02:40 Home condition : EDC serial port already open
20201211 11:02:40 Home condition : EDC serial port already open
20201211 11:02:41 Home condition : EDC serial port already open
20201211 11:02:41 Home condition : EDC serial port already open
20201211 11:02:41 Home condition : EDC serial port already open
20201211 11:02:41 Home condition : EDC serial port already open
20201211 11:02:42 Home condition : EDC serial port already open
20201211 11:02:42 Home condition : EDC serial port already open
20201211 11:02:42 Home condition : EDC serial port already open
20201211 11:02:43 Home condition : EDC serial port already open
20201211 11:02:43 Home condition : EDC serial port already open
20201211 11:02:43 Home condition : EDC serial port already open
20201211 11:02:43 Home condition : EDC serial port already open
20201211 11:02:44 Home condition : EDC serial port already open
20201211 11:02:44 Home condition : EDC serial port already open
20201211 11:02:44 Home condition : EDC serial port already open
20201211 11:02:45 Home condition : EDC serial port already open
20201211 11:02:45 Home condition : EDC serial port already open
20201211 11:02:45 Home condition : EDC serial port already open
20201211 11:02:45 Home condition : EDC serial port already open
20201211 11:02:46 Home condition : EDC serial port already open
20201211 11:02:46 Home condition : EDC serial port already open
20201211 11:02:46 Home condition : EDC serial port already open
20201211 11:02:47 Home condition : EDC serial port already open
20201211 11:02:47 Home condition : EDC serial port already open
20201211 11:02:47 Home condition : EDC serial port already open
20201211 11:02:47 Home condition : EDC serial port already open
20201211 11:02:48 Home condition : EDC serial port already open
20201211 11:02:48 Home condition : EDC serial port already open
20201211 11:02:48 Home condition : EDC serial port already open
20201211 11:02:49 Home condition : EDC serial port already open
20201211 11:02:49 Home condition : EDC serial port already open
20201211 11:02:49 Home condition : EDC serial port already open
20201211 11:02:49 Home condition : EDC serial port already open
20201211 11:02:50 Home condition : EDC serial port already open
20201211 11:02:50 Home condition : EDC serial port already open
20201211 11:02:50 Home condition : EDC serial port already open
20201211 11:02:51 Home condition : EDC serial port already open
20201211 11:02:51 Home condition : EDC serial port already open
20201211 11:02:51 Home condition : EDC serial port already open
20201211 11:02:51 Home condition : EDC serial port already open
20201211 11:02:52 Home condition : EDC serial port already open
20201211 11:02:52 Home condition : EDC serial port already open
20201211 11:02:52 Home condition : EDC serial port already open
20201211 11:02:53 Home condition : EDC serial port already open
20201211 11:02:53 Home condition : EDC serial port already open
20201211 11:02:53 Home condition : EDC serial port already open
20201211 11:02:53 Home condition : EDC serial port already open
